scene,listener,sii
S06216,L0019,0.2343658694273709
S06216,L0077,0.36815534460507954
S06216,L0058,0.25442632871800885
S06217,L0044,0.2713716617562275
S06217,L0022,0.27990287236052946
S06217,L0004,0.28782468818793916
S06218,L0035,0.3975867624204308
S06218,L0061,0.4818232910836606
S06218,L0056,0.3828251507650574
S06219,L0076,0.48365848592913546
S06219,L0049,0.21795905992745732
S06219,L0088,0.6160668862439217
S06220,L0099,0.46306854734548086
S06220,L0055,0.6207910891317959
S06220,L0031,0.5403493463921629
S06221,L0093,0.4524724010885364
S06221,L0013,0.42732459381280913
S06221,L0017,0.33801804175011785
S06222,L0085,0.24520894938853272
S06222,L0092,0.19707939476702183
S06222,L0053,0.3529188363551241
S06223,L0027,0.39677122126127157
S06223,L0063,0.43551468562687073
S06223,L0024,0.3541301984353211
S06224,L0022,0.49489021210683126
S06224,L0038,0.3650476218727956
S06224,L0054,0.5471060809789399
S06225,L0082,0.3916916048446656
S06225,L0041,0.29757279085660643
S06225,L0040,0.5213255174239263
S06226,L0031,0.44879104769313893
S06226,L0049,0.2483416232826267
S06226,L0062,0.30929557625896104
S06227,L0068,0.35672375627581354
S06227,L0008,0.27238534353870336
S06227,L0022,0.3384144671295048
S06228,L0094,0.32377842028241366
S06228,L0003,0.2195059840834346
S06228,L0065,0.3071912129058609
S06229,L0012,0.4766027665951617
S06229,L0022,0.5280974825420892
S06229,L0068,0.49332011686620286
S06230,L0051,0.3975922114660467
S06230,L0088,0.6025805126494418
S06230,L0068,0.4866994140322353
S06231,L0024,0.6225607312912392
S06231,L0093,0.6155056549557639
S06231,L0069,0.640246121040161
S06232,L0051,0.25873369938049445
S06232,L0099,0.2796661438775832
S06232,L0059,0.3164406796439291
S06233,L0013,0.3664834997728116
S06233,L0041,0.3537301580225465
S06233,L0071,0.4530446338427103
S06234,L0098,0.4263151038806823
S06234,L0062,0.39656495863070207
S06234,L0099,0.36853515811889315
S06235,L0084,0.6693326973312202
S06235,L0010,0.4037043735012997
S06235,L0063,0.463668405107776
S06236,L0067,0.34403999653418155
S06236,L0002,0.32879773763139014
S06236,L0068,0.3421096198858338
S06237,L0055,0.29328572168760353
S06237,L0071,0.3787999138708293
S06237,L0035,0.3508334858242093
S06238,L0062,0.45196177283172306
S06238,L0049,0.4336953240646315
S06238,L0076,0.5149884806044198
S06239,L0014,0.22197594056631367
S06239,L0031,0.2540770457625587
S06239,L0017,0.21358179438908184
S06240,L0047,0.4970175361024073
S06240,L0019,0.355141030283864
S06240,L0089,0.4453437480242718
S06241,L0095,0.4201703911552077
S06241,L0026,0.39070517459328086
